Bern_flow,Bern_temperature,BER_ff,BER_qnh,BER_rh,BER_rr,BER_ss,BER_td,BER_tt,brienz_flow,brienz_temperature,interlaken_flow,interlaken_temperature,thun_flow,thun_temperature,hagneck_flow,hagneck_temperature,biel_flow,biel_temperature,THU_ff,THU_qnh,THU_rh,THU_rr,THU_ss,THU_td,THU_tt,INT_ff,INT_qnh,INT_rh,INT_rr,INT_ss,INT_td,INT_tt,BRZ_ff,BRZ_qnh,BRZ_rr,BAN_ff_tow,BAN_rh_tow,BAN_ss,BAN_td_tow,BAN_tt_tow,MSK_ff_tow,MSK_rh_tow,MSK_ss,MSK_td_tow,MSK_tt_tow
67,9.56,1.4,1009.7,98,0,0,2.8,3,18,5.7,40,9.32,61,10.27,76,10.44,137,9.95,1.4,1009.6,99,0,0,2.3,2.4,4.7,1009.2,94,0,0,4.9,5.8,1.8,1009.1,0,8.3,87.3,0,2.9,4.8,5.4,91.6,0,3.9,5.2
67,9.55,1.8,1009.7,99,0,0,2.3,2.5,16,5.72,40,9.32,61,10.27,75,10.45,136,9.94,1.8,1009.6,99,0,0,2.4,2.5,3.2,1009.3,94,0,0,4.7,5.6,0,1009.2,0,5.8,88.6,0,3,4.7,1.8,91.7,0,4.1,5.3
67,9.55,2.5,1009.6,99,0,0,2.2,2.3,14,5.74,40,9.32,61,10.26,76,10.45,137,9.95,1.1,1009.6,99,0,0,1.5,1.6,1.8,1009.3,95,0,0,4.5,5.3,0,1009.3,0,6.1,85.2,0,2.7,5,1.4,91.8,0,4.3,5.5
67,9.54,0.7,1009.7,99,0,0,2.5,2.7,13,5.76,40,9.32,61,10.26,75,10.46,137,9.94,1.1,1009.5,99,0,0,1.7,1.8,2.9,1009.4,95,0,0,4.6,5.4,2.9,1009.3,0,5.8,84.6,0,2.6,5,2.2,91.8,0,4.4,5.6
67,9.54,1.1,1009.6,99,0,0,2.7,2.9,12,5.79,40,9.32,61,10.26,75,10.46,137,9.95,2.2,1009.6,99,0,0,1.5,1.6,5,1009.3,94,0,0,5.2,6.1,2.2,1009.2,0,6.5,84.2,0,2.5,4.9,1.4,91.6,0,4.3,5.6
67,9.53,0.7,1009.6,99,0,0,2.5,2.7,11,5.83,40,9.32,61,10.25,76,10.46,137,9.94,1.1,1009.5,99,0,0,1.8,1.9,3.6,1009.2,93,0,0,5,6.1,0.7,1009.2,0,6.1,85.1,0,2.6,4.9,0,91.5,0,4.2,5.5
67,9.53,1.1,1009.6,99,0,0,2.2,2.3,11,5.87,40,9.32,61,10.25,75,10.46,137,9.94,3.6,1009.5,99,0,0,2.3,2.4,4.7,1009.1,95,0,0,4.2,4.9,5.4,1009.1,0,6.1,85,0,2.7,5,0,91.5,0,4.1,5.4
67,9.52,0,1009.5,98,0,0,2.7,3,12,5.9,40,9.32,61,10.25,76,10.47,137,9.94,1.8,1009.5,99,0,0,1.8,1.9,2.9,1009.1,95,0,0,4.5,5.2,6.1,1009.1,0,5.4,85.4,0,2.7,4.9,0,91.7,0,4.2,5.4
67,9.52,0.7,1009.6,99,0,0,2.6,2.7,12,5.91,39,9.31,61,10.25,75,10.48,137,9.94,2.9,1009.6,99,0,0,1.2,1.3,1.4,1009.2,94,0,0,4.5,5.3,5.8,1009.2,0,5,84.7,0,2.6,5,0,92,0,4.1,5.3
67,9.51,2.5,1009.6,98,0,0,2.8,3.1,13,5.88,39,9.31,61,10.25,75,10.47,137,9.94,2.9,1009.5,99,0,0,1.6,1.7,2.9,1009.3,95,0,0,4.3,5,6.1,1009.3,0,4,84.1,0,2.5,5,0.4,92.4,0,4.1,5.2
67,9.51,1.8,1009.6,99,0,0,2.5,2.6,13,5.85,40,9.31,61,10.25,74,10.47,137,9.93,1.1,1009.6,99,0,0,1.4,1.5,2.2,1009.3,96,0,0,4.3,4.9,5.8,1009.4,0,1.8,86.3,0,2.7,4.8,0.7,92.7,0,4.1,5.2
67,9.5,0.7,1009.7,99,0,0,2.7,2.9,13,5.81,39,9.31,61,10.24,75,10.48,137,9.93,1.1,1009.7,99,0,0,1.5,1.6,2.9,1009.3,96,0,0,4.3,4.8,7.2,1009.4,0,0.7,88,0,2.9,4.7,2.9,92.8,0,4.2,5.3
67,9.5,1.8,1009.8,98,0,0,2.7,3,13,5.82,39,9.3,61,10.24,74,10.48,137,9.93,1.1,1009.8,99,0,0,1.7,1.8,3.6,1009.5,96,0,0,4.3,4.9,6.1,1009.4,0,0.4,89,0,2.9,4.6,3.6,92.5,0,4.4,5.5
67,9.5,1.4,1009.8,97,0,0,2.8,3.2,13,5.83,39,9.29,61,10.24,75,10.48,137,9.93,1.1,1009.8,99,0,0,1.6,1.7,2.9,1009.5,96,0,0,4.3,4.9,6.1,1009.4,0,1.8,87.5,0,2.8,4.7,1.8,91.9,0,4.4,5.6
67,9.49,2.9,1009.9,99,0,0,2.4,2.6,13,5.85,39,9.3,61,10.24,74,10.44,137,9.92,3.6,1009.8,99,0,0,1.8,1.9,5,1009.5,96,0,0,4.4,4.9,6.8,1009.5,0,1.1,91.3,0,3,4.3,0,91.7,0,4.3,5.5
67,9.49,1.4,1009.8,99,0,0,2.5,2.7,13,5.86,39,9.29,61,10.24,75,10.49,138,9.92,1.1,1009.8,99,0,0,1.6,1.7,4.3,1009.5,97,0,0,4.1,4.6,6.5,1009.5,0,1.4,87.5,0,2.8,4.7,0.4,91.9,0,4.2,5.4
67,9.48,1.1,1009.9,99,0,0,2.8,3,12,5.86,39,9.29,61,10.24,75,10.47,138,9.92,1.4,1009.8,99,0,0,1.4,1.5,4.7,1009.6,96,0,0,4.4,5,3.6,1009.5,0,2.2,86.1,0,2.7,4.8,0,92.2,0,4,5.2
67,9.48,1.4,1009.8,98,0,0,2.6,2.8,12,5.86,39,9.29,61,10.24,74,10.47,138,9.92,3.6,1009.7,99,0,0,1.5,1.6,5,1009.6,96,0,0,4.2,4.7,3.6,1009.6,0,1.4,88.4,0,2.9,4.6,1.8,92.6,0,4.1,5.2
67,9.48,1.1,1009.7,99,0,0,2.2,2.4,12,5.82,39,9.29,61,10.23,76,10.46,138,9.92,2.5,1009.6,99,0,0,2,2.1,2.2,1009.6,97,0,0,4.2,4.7,4.3,1009.6,0,1.1,84.4,0,2.6,5,1.4,92.9,0,4,5.1
67,9.47,0.7,1009.8,99,0,0,2.4,2.5,13,5.75,39,9.29,61,10.24,75,10.53,137,9.92,0.7,1009.6,99,0,0,1.7,1.8,1.1,1009.6,97,0,0,4.2,4.7,2.2,1009.6,0,1.4,85.9,0,2.5,4.7,1.8,93.4,0,4,5
67,9.47,0,1009.8,98,0,0,2.6,2.8,12,5.7,39,9.28,61,10.23,75,10.49,138,9.91,1.8,1009.7,99,0,0,1.9,2,2.5,1009.5,97,0,0,4.2,4.7,6.1,1009.7,0,1.1,87.5,0,2.8,4.7,1.8,93.8,0,4,4.9
67,9.46,0,1009.8,99,0,0,2.3,2.5,12,5.69,39,9.27,61,10.23,75,10.51,138,9.92,1.8,1009.7,99,0,0,1.9,2,2.5,1009.5,97,0,0,4.1,4.6,6.8,1009.7,0,1.8,88.7,0,2.9,4.6,3.2,94.1,0,3.9,4.8
67,9.46,0.4,1009.9,99,0,0,2.6,2.8,12,5.68,39,9.24,61,10.23,74,10.52,138,9.92,2.9,1009.7,99,0,0,2.1,2.2,1.1,1009.5,97,0,0,4.2,4.7,6.5,1009.6,0,2.2,89.9,0,2.9,4.4,3.2,94.4,0,4,4.8
67,9.45,0.7,1009.9,99,0,0,2.1,2.2,15,5.68,39,9.24,61,10.23,74,10.47,138,9.91,2.9,1009.7,99,0,0,2.2,2.3,2.5,1009.6,97,0,0,4,4.4,7.6,1009.6,0,5,87,0,2.7,4.7,2.9,94.7,0,3.9,4.7
67,9.45,1.4,1009.8,98,0,0,2.1,2.4,17,5.61,39,9.25,61,10.23,74,10.51,138,9.91,0.7,1009.6,99,0,0,1.8,1.9,5.4,1009.7,97,0,0,4.3,4.7,8.6,1009.7,0,2.2,88.6,0,2.8,4.5,2.9,94.9,0,4,4.7
67,9.45,1.8,1009.9,100,0,0,1.9,2,19,5.57,39,9.25,61,10.23,75,10.54,136,9.92,1.8,1009.7,99,0,0,2.2,2.3,7.6,1009.7,96,0,0,4.6,5.1,5,1009.6,0,1.4,88.2,0,2.8,4.6,3.6,95.1,0,4.1,4.8
67,9.44,2.5,1009.9,99,0,0,1.9,2,22,5.45,39,9.26,61,10.23,75,10.48,137,9.92,0.7,1009.7,99,0,0,2,2.1,5.8,1009.7,96,0,0,4.5,5.2,5.8,1009.6,0,1.4,86.7,0,2.6,4.6,4.3,95.2,0,4.1,4.8
67,9.44,2.9,1009.9,97,0,0,2.6,3,25,5.44,39,9.27,61,10.23,74,10.51,137,9.92,2.9,1009.8,99,0,0,2.1,2.2,2.5,1009.7,96,0,0,4.6,5.2,5.4,1009.7,0,0.4,87.9,0,2.8,4.6,5,95.3,0,4.1,4.8
67,9.43,0.4,1009.9,99,0,0,2.4,2.5,28,5.41,39,9.27,61,10.23,75,10.53,138,9.92,1.8,1009.9,99,0,0,2.2,2.3,2.2,1009.7,95,0,0,4.6,5.3,4,1009.7,0,1.4,88.5,0,2.9,4.6,4.3,95.3,0,4.1,4.8
67,9.43,0.4,1009.9,99,0,0,1.2,1.3,30,5.39,39,9.27,61,10.23,74,10.5,138,9.92,2.2,1009.9,99,0,0,2.2,2.3,4,1009.7,96,0,0,4.5,5.2,4.3,1009.7,0,2.2,85.5,0,2.5,4.7,3.2,95.4,0,4.1,4.8
67,9.43,0.4,1010,97,0,0,2.1,2.5,32,5.5,39,9.27,61,10.23,75,10.53,138,9.92,3.2,1009.9,99,0,0,2.3,2.4,5,1009.7,95,0,0,4.7,5.5,5,1009.6,0,1.8,88.4,0,2.8,4.5,2.9,95.4,0,4.1,4.8
67,9.42,0.7,1010.1,100,0,0,2,2,34,5.5,39,9.27,61,10.23,74,10.54,138,9.92,2.2,1009.9,99,0,0,2,2.1,2.9,1009.7,95,0,0,4.6,5.4,5,1009.6,0,3.6,88.6,0,2.9,4.6,2.5,95.5,0,4.1,4.8
67,9.42,1.1,1010.1,100,0,0,2.1,2.2,36,5.4,39,9.27,61,10.23,74,10.49,138,9.92,2.9,1009.9,99,0,0,2.1,2.2,1.4,1009.8,95,0,0,4.7,5.4,3.6,1009.8,0,2.9,83.1,0,2.2,4.8,3.2,95.5,0,4,4.7
67,9.42,1.4,1010.1,99,0,0,1.7,1.8,36,5.31,39,9.28,61,10.23,75,10.52,138,9.93,3.6,1010.2,99,0,0,2.6,2.7,2.9,1009.9,95,0,0,4.7,5.5,1.4,1009.8,0,1.4,83.9,0,2.2,4.7,3.6,95.5,0,3.9,4.6
67,9.42,2.2,1010.2,98,0,0,2.3,2.5,37,5.22,39,9.28,61,10.23,74,10.55,137,9.93,2.5,1010.2,99,0,0,2.7,2.8,4.3,1010,94,0,0,4.8,5.7,0,1009.9,0,1.8,85,0,2.4,4.7,4.3,95.7,0,4.1,4.7
67,9.42,1.1,1010.3,98,0,0,2.3,2.5,38,5.13,39,9.29,61,10.23,75,10.49,138,9.93,1.4,1010.2,99,0,0,2.8,2.9,4.7,1010,93,0,0,4.9,5.9,0.4,1009.8,0,4.7,88.7,0,2.8,4.5,2.5,95.7,0,4,4.6
